ID,NPER,DPTO,region,region_4,sexo,edad,nivel_edu,edu_rec,quintil,internauta,accesointernet_hogar,B_2_1_1,B_2_1_1_1,B_2_1_2,B_2_1_2_1,B3,B3_A,B3_1,B3_1_1,B4,B4_1,B5_1,B5_2,B5_3,B5_4,B5_1_1,B6,B6_1,C9,C9_1,C10,C11,C12_1_1,C12_1,C12_2_A,C12_2_1,C12_2,C12_3_1_1,C12_3_3,C12_3_4,C12_3,C12_4,C13_1,C13_2,C13_3,C13_4,C13_5,C13_6,C13_7,C13_8,C14_1,C14_2,C14_3,C14_4,C14_5,C14_6,C14_6_B,C14_7,C14_8,C14_9,C14_10,C14_11,C14_12,C14_13,C14_14,C14_15,C14_16,C14_17,C14_18,C15_1,C15_3,C15_2,C15_4,C15_5,C15_6,C15_7,C15_8,C15_9,C16_1,C16_2,C16_3,C16_4,C16_5,C16_6,C16_7,C17_1,C17_3,C17_4,C17_5,C17_6,C17_7,C17_2,C18_A_1,C18_A_10,C18_A_11,C18_A_2,C18_A_3,C18_A_4,C18_A_5,C18_A_6,C18_A_7,C18_A_9,C18_A_9_1,C18_1,C18_2,C18_3,C18_4,C18_10,C18_11,C18_5,C18_6,C25,C26,C27,C19_A,C19_C,C19_D,C19_E,C19_1_1,C19_1_2,C19_1_7,C19_1_8,C19_1_9,C19_1_3,C19_1_4,C19_1_5,C19_1_6,C19_1_1_1,C20_1,C20_2,C20_3,C20_4,C20_5,C20_6,C20_7,C20_8,C20_9,C20_10,C20_11,C20_12,C20_13,C21_A_2,C21_A_3,C21_A_4,C21_A_5,C21_A_6,C21_A_7,C21_A_9,C21_A_1_1,C22_A_1,C22_A_2,C22_A_3,C22_A_4,C22_A_5,C22_A_6,C22_A_7,C22_A_8,C22_A_9,C22_A_11,C22_A_12,C22_A_1_1,C18_A_8,C22_B,C23_1,C23_2,C23_3,C23_4,C23_5,C23_6,C23_7
139,1,1,1,1,1,60,3,2,5,1,1,1,3,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,2,2,1,1,6,5,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1, , ,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2, ,1,1,1,1,1,3,2,3,2,2,3,1,1,2,1,1,1,2,2,1,2,2,2,2, ,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2, ,2,1,2,2,2,2,2,2,2,1,2, ,1, ,3,2,3,3,3,2,3
144,2,1,1,1,1,52,4,3,5,1,1,1,1,1,2,2,0,2,0,1, ,1,2,2,2, ,4,1,1, ,1,1,1,1,1,2,1,1,2,2,1,2,2,1,4,2,1,2,1,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,2,2, ,1,1,4,1,5,5,2,5,2,1,3,1,1,2,1,1,1,2,2,2,2,2,2,2, ,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2, ,1,1,2,1,2,1,2,2,2,1,2, ,1, ,3,3,4,4,1,4,4
148,1,1,1,1,2,57,4,3,5,1,1,1,1,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,1,2,1,2,2,1,2,1,1,5,4,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1, , ,2,2,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,1,2,2,2,2, ,2,1,1,2,5,5,5,5,2,2,3,2,1,2,1,1,1,2,2,2,2,2,2,2, ,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2, ,2,1,1,2,2,2,2,2,2,1,2, ,1, ,99,99,3,99,99,99,2
155,2,1,1,1,1,45,3,2,2,1,1,1,1,1,2,1,2,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,2, , ,4,1,1,1,5,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , ,2,2,1,2,2,1,1,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2, ,5,1,5,1,5,5,5,5,2,2,3,1,2,1,1,2,1,2,2,2,2,2,2,2, ,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2, ,1,1,1,2,2,1,2,2,2,2,2, ,1, ,3,2,3,3,3,2,3
165,1,1,1,1,1,22,2,2,1,1,1,1,1,1,1,1,1,2,0,1, ,1,2,2,1,Recarga,1,1,1, ,1,1,1,1,1,2,2,2, , ,4,1,1,1,5,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , ,2,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2,2, ,2,1,1,1,5,2,1,5,2,2,3,1,1,2,1,1,1,1,1,1,2,2,1,2, ,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2, ,1,1,2,2,2,2,2,2,2,1,2, ,1, ,4,3,4,3,2,4,2
168,2,1,1,1,1,41,2,2,2,1,1,1,2,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,2, , ,4,1,1,4,5,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,2, , ,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2, ,3,1,5,5,5,5,5,5,2,2,3,2,1,2,1,1,1,1,2,2,2,1,1,2, ,2,1,2,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2, ,1,1,2,2,2,2,2,2,2,1,2, ,1, ,4,3,4,4,4,4,4
171,1,1,1,1,2,69,2,2,5,1,1,1,1,1,1,2,0,1,1,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,3,2, , ,4,1,1,4,5,2,2,2,2,2,2,3,2,2,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,2,1, , ,2,2,2,2,2,1,1,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2, ,1,1,5,5,5,5,2,5,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2, ,1,1,2,2,2,1,1,99,2,1,2,2,2,2,2,1,2,2,2,2, ,1,2,2,2,2,2,2,2,2,2,2, ,1, ,3,3,2,3,3,3,4
174,4,1,1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,2, ,4,2, , ,4,1,1,7,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1, , , , , ,1,1,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2, ,3,1,5,1,2,5,1,5,2,2,3,2,1,1,2,1,1,2,2,2,2,1,2,2, ,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2, ,2,2,2,2,2,2,2,2,2,2,2, ,2,2,3,3,3,2,2,3,2
181,2,1,1,1,1,33,4,3,4,1,1,1,3,1,2,1,3,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,2, , ,4,1,1,1,5,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2, , ,1,2,1,2,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,1,Campo virtual formativo,1,1,5,5,5,5,5,5,2,2,3,1,1,2,1,1,1,1,2,1,1,2,2,2, ,1,1,2,2,2,1,1,2,2,1,1,1,2,2,2,1,1,1,2,2, ,1,1,2,1,2,1,2,2,2,1,2, ,1, ,3,2,2,2,2,3,4
183,1,1,1,1,2,68,3,2,5,1,1,1,2,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,2, ,4,1,2,2,1,2,1,7,5,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , ,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2, ,4,1,4,1,5,5,1,5,2,2,3,1,1,2,1,1,1,2,2,2,2,2,2,2, ,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2, ,2,2,1,2,2,2,2,2,2,1,2, ,1, ,3,3,3,3,3,3,3
186,1,1,1,1,1,70,4,3,5,1,1,1,1,1,1,2,0,2,0,1, ,1,2,2,2, ,1,1,1, ,1,1,1,1,2, ,4,2, , ,4,4,1,7,5,4,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,2,2,2,2,2,1,1,2,1, , , , , , , ,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2, ,5,1,5,5,5,5,5,5,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,1,2,2,2,2, ,2,2,2,2,2,2,2,2,2,1,2, ,1, ,3,2,3,3,99,3,3
188,1,1,1,1,2,58,4,3,5,1,1,1,4,1,2,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,2,2,2,1,1,5,1,2,2,2,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,2,1,1,2,2, , ,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2, ,3,1,2,1,5,5,2,5,2,2,3,2,2,2,1,1,1,2,1,2,2,2,2,2, ,1,1,2,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2, ,1,1,2,1,2,2,2,2,2,2,2, ,1, ,3,3,3,3,3,2,3
189,2,1,1,1,1,61,2,2,5,1,1,1,1,1,1,2,0,2,0,1, ,1,2,2,2, ,1,1,1, ,1,1,1,1,1,2,2,2, , ,4,3,1,4,5,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,2,1,2,2, , ,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2, ,4,1,5,5,5,5,5,5,2,2,3,1,2,2,2,1,2,2,2,2,2,2,2,2, ,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,1,2, ,1,1,2,2,2,1,2,2,2,1,2, ,1, ,3,3,2,4,3,3,4
190,1,1,1,1,2,43,4,3,4,1,1,1,4,1,1,2,0,2,0,1, ,1,2,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,2,1,2,1,6,5,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2, , ,2,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,2,2, ,2,1,5,1,5,5,2,3,2,2,3,2,1,1,2,1,1,2,2,2,2,2,2,2, ,2,1,2,1,2,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2, ,1,1,1,1,2,1,2,2,2,1,2, ,1, ,3,3,3,4,4,2,4
200,2,1,1,1,2,64,2,2,5,1,1,1,1,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,2, ,4,1,2,2,1,2,1,4,5,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1, , ,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2, ,1,1,2,1,3,5,3,2,2,2,3,1,1,2,1,1,1,2,2,1,1,1,2,2, ,2,1,2,2,2,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2, ,2,1,2,2,2,2,2,2,2,2,2, ,1, ,4,3,4,4,4,4,4
202,1,1,1,1,2,66,4,3,5,1,1,1,1,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,2,1,2,1,7,1,1,1,2,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1, , , , , ,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,2,2, ,1,1,5,1,5,5,1,4,1,2,3,1,1,2,1,1,1,2,1,2,1,1,2,2, ,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2, ,1,1,2,2,2,1,2,2,2,1,2, ,1, ,3,3,3,4,4,4,4
204,3,1,1,1,2,27,4,3,5,1,1,1,5,1,1,2,0,2,0,1, ,1,1,2,2, ,2,1,1, ,1,1,1,1,1,2,1,2, , ,4,1,1,1,5,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2, , ,2,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,2,1,2,2, ,2,1,3,1,5,5,5,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2, ,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, ,2,2,3,3,3,2,2,3,4
221,1,1,1,1,1,66,1,1,2,1,1,1,3,1,1,2,0,1,1,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,1,4,4,1,7,5,4,1,2,2,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1, , , , , , , ,1,1,2,2,1,2,1,1,2,2,1,1,2,1,2,2,2, ,1,1,2,5,5,5,1,5,2,2,3,1,1,2,1,1,1,2,2,2,2,2,2,2, ,1,2,2,2,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2, ,1,1,1,2,2,2,2,2,2,2,2, ,1, ,3,3,3,3,2,3,3
224,3,1,1,1,1,18,2,2,3,1,1,1,3,1,1,1,1,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,1,1,2, , ,4,1,1,4,4,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2, ,5,1,1,1,1,3,2,5,2,2,3,2,1,1,1,1,1,1,1,2,1,1,1,1,Hbo,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2, ,1,1,1,1,1,1,2,1,2,2,2, ,1, ,3,3,3,3,3,3,4
227,1,1,1,1,2,36,3,2,2,1,1,1,2,1,1,1,2,2,0,1, ,1,1,2,2, ,4,1,1, ,1,1,1,1,1,1,1,1,1,2,1,4,1,1,5,4,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,2,1, , ,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2, ,1,1,5,5,5,5,5,5,2,2,3,2,2,2,2,1,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,2,2,1,2, ,2,2,2,1,2,2,2,2,2,2,2, ,2, ,4,3,4,4,4,4,4
230,1,1,1,1,2,48,3,2,4,1,1,1,2,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,2, , ,4,2,1,1,4,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2, ,4,1,5,5,5,5,5,5,2,2,3,1,1,2,1,1,1,2,2,2,2,2,2,2, ,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2, ,2,1,2,2,2,1,2,2,2,1,2, ,2, ,3,3,3,4,3,3,2
231,1,1,1,1,1,42,2,2,3,1,1,1,1,1,1,1,1,1,1,1, ,1,1,2,2, ,2,1,1, ,1,1,1,1,1,2,1,2, , ,4,1,1,1,4,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,2, ,1,1,5,1,5,5,1,5,2,2,3,1,1,1,1,1,1,1,1,2,1,2,1,2, ,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,1,2,2, ,1,1,1,2,2,1,2,2,2,1,2, ,1, ,3,2,3,4,3,3,4
233,1,1,1,1,2,31,4,3,5,1,1,1,2,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,2,2, , ,4,2,1,2,5,1,1,2,2,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1, , ,1,1,1,2,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,2,2, ,3,1,5,1,5,3,3,5,2,2,3,1,1,2,1,1,1,2,1,2,2,2,2,2, ,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2, ,1,2,2,2,2,2,2,2,2,1,2, ,1, ,4,3,4,4,99,4,3
244,1,1,1,1,2,89,4,3,5,1,1,1,1,1,2,2,0,2,0,1, ,1,2,2,2, ,1,2,1, ,1,2,1,2,2, ,4,2, , ,4,4,1,7,5,4,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2, ,5,1,5,5,5,5,5,5,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2, ,2,2,99,99,99,99,99,99,99
246,1,1,1,1,2,59,4,3,5,1,1,1,3,1,2,1,1,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,2,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,2, ,1,1,1,5,5,5,2,2,2,2,3,1,1,2,1,1,1,2,1,2,2,2,2,2, ,1,1,2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2, ,1,1,1,1,1,1,2,2,2,1,2, ,1, ,3,3,3,3,3,3,3
248,1,1,1,1,1,40,2,2,1,1,1,1,1,1,1,1,1,2,0,1, ,1,1,2,2, ,2,1,1, ,1,1,1,1,2, ,4,2, , ,4,1,1,1,5,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2,1,2,2, , ,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,2,2,1,2,2,2, ,1,1,5,5,5,5,1,5,2,2,3,2,1,1,2,1,1,2,2,2,2,2,2,2, ,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2, ,2,1,2,2,2,1,2,2,2,2,2, ,2, ,99,99,99,99,99,99,99
250,1,1,1,1,1,67,3,2,5,1,1,1,2,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,2,1,1,1,7,5,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2, ,5,1,1,1,5,5,1,5,2,2,3,1,1,2,1,1,1,2,2,2,1,1,1,2, ,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2, ,1,1,1,1,2,1,1,1,1,1,2, ,1, ,4,4,3,4,4,4,4
251,2,1,1,1,2,36,4,3,4,1,1,1,2,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,2,1,4,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2, ,5,1,5,1,5,5,5,5,1,2,3,1,1,2,1,1,1,2,2,2,2,2,2,1,Tv ciudad,2,1,2,2,2,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2, ,2,2,2,2,2,1,2,2,2,1,2, ,1, ,4,3,2,4,4,3,4
252,1,1,1,1,1,75,4,3,5,1,1,1,1,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,2,3,1,1,7,1,1,2,2,2,2,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1, , , , , ,1,1,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2, ,5,1,5,5,5,5,2,5,2,2,3,1,1,1,1,1,1,2,2,2,1,2,1,1,Directv,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2, ,1,1,1,2,2,1,2,2,2,1,2, ,1, ,3,2,3,4,3,3,4
253,1,1,1,1,1,72,2,2,5,1,1,1,1,1,2,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,2,2,1,1,7,5,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1, , , , , , , ,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,2,2, ,2,1,2,2,5,5,1,5,2,2,3,1,1,2,1,1,1,1,1,1,2,1,1,2, ,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2, ,2,1,1,1,2,1,2,2,2,1,2, ,1, ,3,2,4,4,2,3,3
254,1,1,1,1,1,61,3,2,4,1,1,1,4,1,1,1,2,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2, ,3,1,1,1,5,5,5,5,2,2,3,1,1,2,1,1,1,2,2,2,2,2,1,2, ,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,1,2, ,1,1,1,1,2,2,2,1,2,1,2, ,1, ,2,3,1,4,1,2,3
255,3,1,1,1,1,20,3,2,5,1,1,1,1,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,2, , ,4,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,2, ,2,1,1,1,5,5,2,5,2,2,3,1,1,2,2,1,1,2,2,1,2,2,1,2, ,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2, ,1,2,2,2,2,2,2,2,2,2,1,Consultar la devolucion de irpf,2, ,3,2,4,2,1,3,3
266,1,1,1,1,1,57,4,3,5,1,1,1,2,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,2,2, , ,4,4,2,2,4,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,2,2, ,5,1,4,4,5,5,1,1,1,2,3,2,1,1,1,1,1,2,2,2,2,2,1,1,Tcc vivo,2,1,2,2,2,1,1,1,2,1,1,2,2,2,1,2,2,1,2,2, ,2,2,2,2,2,1,2,2,1,1,2, ,1, ,3,2,3,3,3,3,3
268,1,1,1,1,2,76,1,1,2,1,1,1,1,1,1,2,0,2,0,1, ,1,2,2,2, ,1,1,1, ,1,1,1,1,2, ,4,2, , ,4,1,1,7,5,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , ,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2, ,5,1,5,5,5,5,5,5,2,2,3,2,1,2,2,1,1,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2, ,2,2,3,3,3,2,2,3,3
274,3,1,1,1,1,22,3,2,2,1,1,1,3,1,2,1,3,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,2,2, , ,4,2,1,6,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2, ,1,1,1,1,1,5,1,2,1,2,3,2,1,2,1,1,1,1,2,2,2,2,2,1,Hbo max,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2, ,1,1,1,1,2,1,2,2,2,1,2, ,1, ,3,3,3,3,2,3,2
282,1,1,1,1,2,33,3,2,2,1,1,1,1,1,1,1,1,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,1,2,2,4,1,1,5,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , ,2,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2, ,4,1,1,1,2,3,1,5,2,2,3,1,1,1,1,1,1,1,2,2,2,2,2,2, ,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2, ,1,1,1,1,2,1,2,2,2,1,2, ,1, ,3,4,1,3,3,3,3
285,1,1,1,1,2,64,4,3,5,1,1,1,1,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,2,3,1,1,7,5,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2, , , , , , , ,1,1,1,1,2,2,1,1,2,2,1,1,1,2,2,2,2, ,1,1,1,1,5,5,5,5,2,2,3,1,1,1,1,1,1,2,1,2,2,1,2,2, ,2,1,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2, ,1,1,2,2,2,2,2,2,2,2,2, ,1, ,3,3,3,3,99,3,3
288,3,1,1,1,1,52,2,2,4,1,1,1,1,1,1,2,0,2,0,1, ,1,1,2,2, ,1,1,1, ,1,1,1,1,1,2,1,1,2,2,3,1,1,1,5,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1,2,2,2,2,1,2,2,1,2,1,1,1, , ,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,2,2, ,1,1,1,1,5,5,5,4,2,2,2,1,1,2,1,1,1,2,2,2,2,1,2,2, ,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,1,1,2, ,1,1,2,2,2,2,2,2,2,2,2, ,1, ,2,1,1,1,1,1,1
